Nama Resto,alamat,daerah,buka_tutup,jam_buka,jam_tutup,harga_semua,harga_awal,harga_akhir,rata_rata,rating,telepon,tipe,menu,review 
Soon Fatt Chinese Restaurant JGC,"Ruko The Boulevard no. 39, Jl. Jkt Garden City Boulevard, RT.11/RW.8, Cakung Tim., Kec. Cakung, Jakarta, Daerah Khusus Ibukota Jakarta 13910",Jakarta Timur,10.00  -  22.00,10:00:00 AM,  22.00,50.000  -  75.000,"50.000,00","75.000,00","62.500,00",4.7,811888957,Restoran,"Dim Sum, Ayam Kung Pao, Sup Asam Pedas, Nasi Goreng","enak, nyaman, dan murah, selalu jadi rekomendasi keluarga saya"
Sambal Bakar Indonesia JGC,"Ruko Cleon Park Jakarta Garden City, Jl. Jkt Garden City Boulevard, Cakung Tim., Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13910",Jakarta Timur,10.00  -  24.00,10:00:00 AM,  24.00,25.000  -  50.000,"25.000,00","50.000,00","37.500,00",4.4,81388884446,Restoran,"Ayam Bakar Sambal, Iga Bakar, Nasi Uduk, Tempe Goreng","Iganya terbaik, harga juga bersaing, kualitas pelayanan bagus, kebersihan juga terjaga"
Shu Guo Yin Xiang Kelapa Gading,"Old Shanghai Sedayu City, Unit D2, Cakung Bar., Kec. Cakung, Daerah Khusus Ibukota Jakarta 13920",Jakarta Timur,10.00  -  23.00,10:00:00 AM,  23.00,50.000  -  150.000,"50.000,00","150.000,00","100.000,00",4.8,8179090888,Restoran,"Hotpot Daging Sapi, Ayam Kung Pao, Sayur Kailan Saus Tiram, Nasi Putih","makanan enak, harga sesuai dengan kualitas namun pelayanan sangat kurang"
Layar Seafood Dan Ikan Bakar Sedayu City,"RT.8/RW.5, Rawa Terate, Cakung, East Jakarta City, Jakarta 13920",Jakarta Timur,11.00  -  22.00,11:00:00 AM,  22.00,100.000  -  200.000,"100.000,00","200.000,00","150.000,00",4.6,2121056472,Restoran,"Ikan Bakar, Cumi Goreng Tepung, Udang Saus Padang, Kangkung Terasi","Selalu jadi pilihan keluarga, udah ga perlu diragukan lagi. terutama gurame bakarnya"
Global Bakery Cakung,"Jl. Tipar Cakung No.2, RT.5/RW.8, Cakung Bar., Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13910",Jakarta Timur,06.00  -  23.00,6:00:00 AM,  23.00,10.000  -  100.000,"10.000,00","100.000,00","55.000,00",4.9,87775411619,Bakery,"Roti Tawar, Croissant, Kue Bolu, Donat",Toko roti yang selalu menyediakan roti fresh dari segi rasa sesuai dengan harganya. tempatnya juga nyaman dan bersih
Ketan Susu Cakung (KESUSU),"Jl. Tipar Cakung No.KM 23, RT.9/RW.5, Cakung Bar., Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13910",Jakarta Timur,04.00  -  22.00,4:00:00 AM,  22.00,5000  -  20.000,"5.000,00","20.000,00","12.500,00",5,89504944753,PKL,"Ketan Susu, Ketan Coklat, Ketan Keju, Ketan Durian",Makanan viral yang ternyata rasanya enak. ga nyangka saya bisa suka. harganya sudah jelas bersahabat sekali
Pabbo Unifirst  -  Coffee & Social Space,"Food Garden, RT.11, RW.8, Cakung Tim., Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta",Jakarta Timur,00.01  -  24.00,12:01:00 AM,  24.00,25.000  -  50.000,"25.000,00","50.000,00","37.500,00",4.6,82299217829,Café,"Espresso, latte, americano, cappucino","Tempatnya nyaman, bersih, adem, kopi yang diberikan juga sesuai dengan harganya"
Warung Nasi Bebek Ibu Sa'adah,"Jl. Komarudin Lama No.5 7, RT.7/RW.7, Pulo Gebang, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13950",Jakarta Timur,11.00  -  22.00,11:00:00 AM,  22.00,10.000  -  30.000,"10.000,00","30.000,00","20.000,00",4.4,81905953595,PKL,"Nasi Bebek Goreng, Bebek Bakar, Sambal, Sayur Asem","Nasi bebek yang juara, bumbunya kentel. rasanya enak sekali, harga juga normal"
Bakso Mas Memble,"Jl. Kp. Pedaengan No.14, RT.14/RW.8, Penggilingan, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13940",Jakarta Timur,12.15   -   9.45 ,12:15:00 PM,   9.45 ,5000  -  30.000,"5.000,00","30.000,00","17.500,00",4.7,,PKL,"Bakso Urat, Bakso Telur, Bakso Keju, Mie Ayam",bakso andalan setiap pulang ke rumah. rasanya ga pernah membosankan. terutama kuahnya yang sangat berkaldu dan hangat
Yoshinoya,"1, Jl. Raya Bekasi No.26, RT.1/RW.3, Rw. Terate, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13920",Jakarta Timur,10.00  -  22.00,10:00:00 AM,  22.00,10.000  -  60.000,"10.000,00","60.000,00","35.000,00",4,21500566,Restoran,"Beef Bowl, Chicken Teriyaki, Ebi Fry, Salad","Makanan jepang andalan. rasanya enak, bumbunya udah indonesia sekali tapi porsinya sedikit kalau dibandingin sama harganya hehehehe"
SURASA Restaurant,"Jl Sedayu City Boulevard Selatan No.55 - 56, Cakung Bar., Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13910",Jakarta Timur,07.00  -  21.00,7:00:00 AM,  21.00,50.000  -  150.000,"50.000,00","150.000,00","100.000,00",4.8,85797019609,Restoran,"Nasi Liwet, Ayam Goreng, Tahu Tempe, Sayur Asam","Restoran Surasa menyajikan berbagai Variasi makanan Indonesia. Tempat nyaman, dan pelayanannya juga baik. Saya mencoba bebek goreng 1/2 ekor nya, daging bebek nya bertekstur lembut sehingga nikmat disantap. Sisa nya keluarga sama memesan Nasi goreng, porsi nya cukup besar, ada paket nasi ayam Goreng dan nasi liwet."
Imperial Kitchen & Dimsum  -  Lulu Hypermarket,"Jl. Taman Modern Jl. Raya Bekasi No.KM 24 Blok G  -  02, Plaza, Ujung Menteng, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13960",Jakarta Timur,10.00  -  22.00,10:00:00 AM,  22.00,10.000  -  100.000,"10.000,00","100.000,00","55.000,00",4.1,2146836115,Restoran,"Nasi goreng, siomay, hakao, asparagus",Makanannya enak enak semuanya. favorit saya dimsum dan sup asparagusnya. jarang ditemukan ditempat lain.
Warteg Gempol,"Gempol Jl. Balai Rakyat, RT.5/RW.1, Cakung Tim., Jakarta Timur, DKI Jakarta, Daerah Khusus Ibukota Jakarta 13910",Jakarta Timur,00.01  -  24.00,12:01:00 AM,  24.00,5000  -  20.000,"5.000,00","20.000,00","12.500,00",4.7,89627773564,PKL,"Nasi Rames, Sayur Lodeh, Ikan Goreng, Ayam Balado",Iya bu saya juga merasakan makanannya enak dan murah apa lagi urapnya enakk powlll. …More
